Month,Open,High,Low,Close
Jan-14,21222.19,21409.66,20343.78,20513.85
Feb-14,20479.03,21140.51,19963.12,21120.12
Mar-14,21079.27,22467.21,20920.98,22386.27
Apr-14,22455.23,22939.31,22197.51,22417.8
May-14,22493.59,25375.63,22277.04,24217.34
Jun-14,24368.96,25725.12,24270.2,25413.78
Jul-14,25469.94,26300.17,24892,25894.97
Aug-14,25753.92,26674.38,25232.82,26638.11
Sep-14,26733.18,27354.99,26220.49,26630.51
Oct-14,26681.47,27894.32,25910.77,27865.83
Nov-14,27943.04,28822.37,27739.56,28693.99
Dec-14,28748.22,28809.64,26469.42,27499.42
Jan-15,27485.77,29844.16,26776.12,29182.95
Feb-15,29143.63,29560.32,28044.49,29361.5
Mar-15,29533.42,30024.74,27248.45,27957.49
Apr-15,27954.86,29094.61,26897.54,27011.31
May-15,27204.63,28071.16,26423.99,27828.44
Jun-15,27770.79,27968.75,26307.07,27780.83
Jul-15,27823.65,28578.33,27416.39,28114.56
Aug-15,28089.09,28417.59,25298.42,26283.09
Sep-15,26127.04,26471.82,24833.54,26154.83
Oct-15,26344.19,27618.14,26168.71,26656.83
Nov-15,26641.69,26824.3,25451.42,26145.67
Dec-15,26201.27,26256.42,24867.73,26117.54
Jan-16,26101.5,26197.27,23839.76,24870.69
Feb-16,24982.22,25002.32,22494.61,23002
Mar-16,23153.32,25479.62,23133.18,25341.86
Apr-16,25301.7,26100.54,24523.2,25606.62
May-16,25565.44,26837.2,25057.93,26667.96
Jun-16,26684.46,27105.41,25911.33,26999.72
Jul-16,27064.33,28240.2,27034.14,28051.86
Aug-16,28083.08,28532.25,27627.97,28452.17
Sep-16,28459.09,29077.28,27716.78,27865.96
Oct-16,27997.29,28477.65,27488.3,27930.21
Nov-16,27966.18,28029.8,25717.93,26652.81
Dec-16,26756.66,26803.76,25753.74,26626.46
Jan-17,26711.15,27980.39,26447.06,27655.96
Feb-17,27669.08,29065.31,27590.1,28743.32
Mar-17,28849.04,29824.62,28716.21,29620.5
Apr-17,29737.73,30184.22,29241.48,29918.4
May-17,30021.49,31255.28,29804.12,31145.8
Jun-17,31117.09,31522.87,30680.66,30921.61
Jul-17,31156.04,32672.66,31017.11,32514.94
Aug-17,32579.8,32686.48,31128.02,31730.49
Sep-17,31769.34,32524.11,31081.83,31283.72
Oct-17,31537.81,33340.17,31440.48,33213.13
Nov-17,33344.23,33865.95,32683.59,33149.35
Dec-17,33247.66,34137.97,32565.16,34056.83
Jan-18,34059.99,36443.98,33703.37,35965.02
Feb-18,36048.99,36256.83,33482.81,34184.04
Mar-18,34141.22,34278.63,32483.84,32968.68
Apr-18,33030.87,35213.3,32972.56,35160.36
May-18,35328.91,35993.53,34302.89,35322.38
Jun-18,35373.98,35877.41,34784.68,35423.48
Jul-18,35545.22,37644.59,35106.57,37606.58
Aug-18,37643.87,38989.65,37128.99,38645.07
Sep-18,38915.91,38934.35,35985.63,36227.14
Oct-18,36274.25,36616.64,33291.58,34442.05
Nov-18,34650.63,36389.22,34303.38,36194.3
Dec-18,36396.69,36554.99,34426.29,36068.33
