Date,Nifty,NTPC,HCLTECH,ADANIPORTS
3/1/2019,10863.5,97.649994,497.278992,327.093048
3/5/2019,10987.4502,100.381454,497.255463,333.032135
3/6/2019,11053,101.713051,492.861664,330.872467
3/7/2019,11058.2002,99.835167,488.751648,334.651886
3/8/2019,11035.40039,103.932365,476.704712,335.878967
3/11/2019,11168.04981,103.38607,474.507904,344.861267
3/12/2019,11301.2002,103.283646,478.736115,354.432587
3/13/2019,11341.7002,101.200905,485.822571,360.420776
3/14/2019,11343.25,104.922531,475.618103,359.291901
3/15/2019,11426.84961,107.927132,486.271393,360.371735
3/18/2019,11462.2002,108.405151,478.688934,362.236877
3/19/2019,11532.40039,110.542511,489.531128,359.046448
3/20/2019,11521.04981,105.912682,490.35788,353.990845
3/22/2019,11456.90039,110.337654,484.169067,354.138092
3/25/2019,11354.25,110.91127,480.767578,354.727081
3/26/2019,11483.25,115.377228,488.775238,361.844208
3/27/2019,11445.04981,112.263344,492.814514,359.586334
